Purple Coordinates;Orange Coordinates
(1146, 56);(874, 597)
(1146, 56);(871, 602)
(1146, 63);(871, 602)
(1146, 56);(872, 602)
(1146, 56);(872, 602)
(1148, 62);(873, 602)
(1148, 56);(873, 602)
(1148, 56);(873, 602)
(1148, 56);(873, 602)
(1148, 56);(873, 602)
(1148, 63);(872, 602)
(1148, 63);(872, 602)
(1148, 58);(876, 597)
(1148, 58);(876, 598)
(1148, 58);(876, 597)
(1146, 64);(876, 597)
(1146, 63);(873, 601)
(1146, 56);(873, 601)
(1151, 60);(873, 601)
(1151, 60);(872, 600)
(1148, 56);(872, 600)
(1148, 63);(872, 600)
(1148, 58);(872, 600)
(1146, 64);(873, 602)
(1146, 63);(873, 602)
(1146, 63);(873, 602)
(1144, 63);(873, 602)
(1144, 63);(873, 602)
(1144, 63);(872, 600)
(1144, 63);(872, 600)
(1146, 63);(872, 600)
(1146, 68);(872, 600)
(1146, 67);(872, 600)
(1146, 67);(871, 600)
(1146, 67);(871, 600)
(1146, 67);(871, 600)
(1149, 64);(871, 602)
(1146, 65);(871, 602)
(1149, 62);(872, 603)
(1149, 62);(872, 603)
(1149, 62);(871, 603)
(1148, 61);(871, 603)
(1148, 61);(874, 597)
(1144, 65);(874, 597)
(1148, 61);(874, 597)
(1144, 65);(870, 600)
(1144, 63);(871, 600)
(1149, 60);(872, 600)
(1149, 60);(871, 600)
(1146, 65);(871, 600)
(1146, 65);(874, 596)
(1150, 60);(874, 597)
(1146, 65);(874, 598)
(1146, 56);(871, 602)
(1148, 56);(876, 598)
(1148, 64);(876, 598)
(1148, 56);(876, 598)
(1147, 65);(876, 598)
(1148, 58);(872, 601)
(1146, 58);(872, 601)
(1150, 59);(872, 601)
(1146, 62);(872, 601)
(1146, 62);(873, 602)
(1146, 61);(873, 602)
(1146, 61);(874, 601)
(1148, 61);(876, 602)
(1148, 61);(876, 601)
(1148, 61);(876, 601)
(1150, 59);(877, 601)
(1150, 59);(876, 601)
(1150, 59);(876, 601)
(1150, 59);(876, 600)
(1148, 56);(876, 600)
(1148, 56);(876, 600)
(1148, 64);(876, 601)
(1148, 64);(875, 602)
(1152, 61);(875, 601)
(1152, 61);(876, 601)
(1152, 61);(875, 602)
(1148, 63);(875, 601)
(1148, 63);(875, 601)
(1148, 63);(875, 601)
(1148, 63);(875, 601)
(1150, 61);(875, 601)
(1152, 59);(875, 602)
(1152, 59);(872, 602)
(1152, 59);(872, 602)
(1152, 59);(872, 602)
(1152, 59);(872, 602)
(1150, 58);(872, 602)
(1150, 58);(873, 603)
(1150, 58);(873, 603)
(1152, 59);(873, 603)
(1146, 62);(873, 602)
(1148, 61);(873, 601)
(1148, 61);(875, 601)
(1148, 61);(875, 601)
(1148, 61);(875, 601)
(1148, 60);(875, 603)
(1148, 60);(871, 603)
(1148, 54);(871, 603)
(1148, 54);(871, 600)
(1148, 59);(871, 599)
(1146, 59);(871, 599)
(1144, 59);(871, 600)
(1144, 54);(873, 600)
(1142, 61);(873, 602)
(1144, 61);(875, 604)
(1146, 61);(876, 603)
(1146, 61);(876, 605)
(1148, 61);(879, 601)
(1148, 61);(877, 601)
(1148, 61);(877, 601)
(1148, 60);(872, 601)
(1148, 61);(876, 594)
(1148, 54);(874, 593)
(1146, 61);(874, 593)
(1146, 61);(873, 593)
(1146, 61);(865, 597)
(1146, 61);(865, 598)
(1146, 61);(865, 598)
(1148, 60);(874, 595)
(1146, 59);(870, 600)
(1148, 59);(871, 600)
(1148, 59);(876, 597)
(1149, 59);(872, 600)
(1149, 59);(872, 600)
(1148, 60);(875, 595)
(1148, 59);(874, 595)
(1148, 59);(874, 594)
(1148, 52);(874, 594)
(1148, 52);(874, 594)
(1148, 52);(874, 594)
(1148, 59);(875, 594)
(1148, 59);(875, 594)
(1148, 59);(876, 594)
(1148, 59);(876, 594)
(1148, 59);(876, 594)
(1148, 59);(876, 594)
(1146, 59);(877, 594)
(1146, 57);(877, 594)
(1146, 57);(877, 594)
(1146, 57);(877, 594)
(1146, 57);(877, 594)
(1146, 57);(877, 595)
(1146, 57);(876, 595)
(1147, 57);(876, 595)
(1147, 57);(876, 595)
(1148, 59);(876, 596)
(1148, 59);(876, 596)
(1148, 59);(877, 595)
(1148, 59);(876, 595)
(1148, 56);(878, 596)
(1146, 59);(878, 597)
(1148, 59);(877, 598)
(1147, 52);(871, 604)
(1148, 52);(873, 604)
(1146, 57);(876, 601)
(1146, 50);(871, 605)
(1146, 50);(871, 605)
(1146, 50);(875, 597)
(1147, 49);(875, 596)
(1146, 55);(875, 596)
(1146, 55);(875, 595)
(1146, 55);(876, 596)
(1148, 55);(876, 596)
(1148, 55);(876, 596)
(1148, 55);(877, 596)
(1148, 55);(877, 596)
(1148, 57);(878, 596)
(1148, 57);(880, 596)
(1148, 57);(878, 596)
(1148, 57);(878, 596)
(1148, 57);(877, 596)
(1148, 57);(877, 596)
(1148, 50);(877, 595)
(1148, 55);(877, 595)
(1152, 53);(881, 595)
(1152, 53);(881, 595)
(1152, 53);(880, 595)
(1148, 55);(877, 594)
(1148, 55);(873, 594)
(1148, 55);(873, 594)
(1152, 53);(873, 594)
(1152, 53);(874, 594)
(1148, 56);(874, 595)
(1150, 50);(871, 599)
(1150, 55);(876, 595)
(1150, 48);(876, 595)
(1150, 55);(876, 595)
(1150, 55);(876, 595)
(1150, 55);(876, 595)
(1150, 55);(876, 594)
(1150, 55);(877, 594)
(1148, 56);(877, 594)
(1150, 55);(876, 594)
(1150, 55);(876, 594)
(1150, 55);(876, 594)
(1146, 46);(876, 595)
(1149, 49);(876, 595)
(1149, 49);(878, 595)
(1149, 49);(878, 595)
(1146, 53);(878, 595)
(1146, 53);(878, 595)
(1148, 53);(877, 596)
(1148, 53);(876, 596)
(1150, 48);(875, 596)
(1150, 55);(875, 596)
(1152, 55);(874, 595)
(1152, 55);(875, 594)
(1150, 56);(875, 594)
(1150, 50);(875, 594)
(1150, 50);(875, 594)
(1150, 50);(876, 594)
(1150, 50);(876, 594)
(1150, 49);(875, 594)
(1150, 55);(875, 594)
(1150, 55);(875, 595)
(1150, 55);(875, 595)
(1150, 55);(875, 595)
(1150, 55);(875, 595)
(1153, 51);(876, 595)
(1149, 48);(876, 594)
(1149, 48);(877, 593)
(1149, 48);(877, 593)
(1148, 54);(876, 593)
(1149, 48);(876, 593)
(1149, 48);(876, 593)
(1149, 48);(875, 594)
(1150, 48);(868, 598)
(1150, 48);(867, 597)
(1150, 48);(867, 597)
(1150, 50);(867, 597)
(1150, 55);(867, 597)
(1150, 55);(866, 597)
(1150, 55);(866, 598)
(1150, 55);(866, 599)
(1153, 52);(870, 599)
(1150, 55);(870, 599)
(1148, 55);(870, 599)
(1148, 55);(870, 599)
(1150, 49);(870, 599)
(1151, 50);(869, 599)
(1151, 50);(869, 599)
(1151, 50);(868, 599)
(1151, 50);(868, 599)
(1152, 49);(868, 599)
(1151, 49);(866, 600)
